TenantId,AttachmentCount,AuthenticationDetails,AdditionalFields,ConfidenceLevel,Connectors,DetectionMethods,DeliveryAction,DeliveryLocation,EmailClusterId,EmailDirection,EmailLanguage,EmailAction,EmailActionPolicy,EmailActionPolicyGuid,OrgLevelAction,OrgLevelPolicy,InternetMessageId,NetworkMessageId,RecipientEmailAddress,RecipientObjectId,ReportId,SenderDisplayName,SenderFromAddress,SenderFromDomain,SenderObjectId,SenderIPv4,SenderIPv6,SenderMailFromAddress,SenderMailFromDomain,Subject,ThreatTypes,ThreatNames,TimeGenerated,LastEventExecutionTime,Timestamp,UrlCount,UserLevelAction,UserLevelPolicy,BulkComplaintLevel,LatestDeliveryLocation,LatestDeliveryAction,ExchangeTransportRule,DistributionList,ForwardingInformation,Context,To,Cc,ThreatClassification,Type
tenant-lab-001-a000-0000-0000-000000000001,1,"{""SPF"":""Pass"",""DKIM"":""Pass"",""DMARC"":""Pass""}","{""UserReportedPhish"":true,""RootCause"":""Unrelated marketing""}",Low,,AnalystReport,Delivered,Inbox,10001,Inbound,en,Delivered,,,Allow,Default,<nm-ext-ai-trial-7c4a9b2e-001@mail.example>,nm-ext-ai-trial-7c4a9b2e-001,jordan.velez@creditsafe.com,8f3a2b1c-4d5e-6a7b-8c9d-0e1f2a3b4c5d,rpt-email-001,DevAssist Promotions,promo@devassist-trials.example,devassist-trials.example,,198.51.100.88,,promo@devassist-trials.example,devassist-trials.example,Exclusive trial: AI pair-programming for enterprise repos,Phish,,2026-05-28T08:35:00Z,2026-05-28T08:35:00Z,2026-05-28T08:35:12Z,3,,,1,Inbox,Delivered,,,,Email,"[""jordan.velez@creditsafe.com""]",[],Spam,EmailEvents
tenant-lab-001-a000-0000-0000-000000000001,1,"{""SPF"":""Pass"",""DKIM"":""Pass"",""DMARC"":""Pass""}","{""UserReportedPhish"":false,""RootCause"":""Unrelated marketing""}",None,,AllowList,Delivered,Inbox,10001,Inbound,en,Delivered,,,Allow,Default,<nm-newsletter-npm-8d1f3a4c-002@mail.example>,nm-newsletter-npm-8d1f3a4c-002,jordan.velez@creditsafe.com,8f3a2b1c-4d5e-6a7b-8c9d-0e1f2a3b4c5d,rpt-email-002,npm Inc,newsletter@notify.npmjs.org,notify.npmjs.org,,10.0.0.1,,newsletter@notify.npmjs.org,notify.npmjs.org,npm weekly: security advisories roundup,,,2026-05-28T07:12:00Z,2026-05-28T07:12:00Z,2026-05-28T07:12:12Z,5,,,1,Inbox,Delivered,,,,Email,"[""jordan.velez@creditsafe.com""]",[],None,EmailEvents
tenant-lab-001-a000-0000-0000-000000000001,1,"{""SPF"":""Pass"",""DKIM"":""Pass"",""DMARC"":""Pass""}","{""UserReportedPhish"":false,""RootCause"":""Unrelated marketing""}",None,,AllowList,Delivered,Inbox,10001,Inbound,en,Delivered,,,Allow,Default,<nm-internal-sharepoint-9e2b5c6d-003@mail.example>,nm-internal-sharepoint-9e2b5c6d-003,jordan.velez@creditsafe.com,8f3a2b1c-4d5e-6a7b-8c9d-0e1f2a3b4c5d,rpt-email-003,Data Platform Team,data-platform-team@creditsafe.com,creditsafe.com,,10.0.0.1,,data-platform-team@creditsafe.com,creditsafe.com,FYI: updated Data Platform site permissions,,,2026-05-27T16:30:00Z,2026-05-27T16:30:00Z,2026-05-27T16:30:12Z,1,,,1,Inbox,Delivered,,,,Email,"[""jordan.velez@creditsafe.com""]",[],None,EmailEvents
tenant-lab-001-a000-0000-0000-000000000001,1,"{""SPF"":""Pass"",""DKIM"":""Pass"",""DMARC"":""Pass""}","{""UserReportedPhish"":false,""RootCause"":""Unrelated marketing""}",None,,AllowList,Delivered,Inbox,10001,Inbound,en,Delivered,,,Allow,Default,<nm-noise-0@mail.example>,nm-noise-0,jordan.velez@creditsafe.com,8f3a2b1c-4d5e-6a7b-8c9d-0e1f2a3b4c5d,rpt-email-e-0,Data Platform Team,news@newsletter0.example,newsletter0.example,,10.0.0.1,,news@newsletter0.example,newsletter0.example,Newsletter 0,,,2026-05-27T06:00:00Z,2026-05-27T06:00:00Z,2026-05-27T06:00:12Z,1,,,1,Inbox,Delivered,,,,Email,"[""jordan.velez@creditsafe.com""]",[],None,EmailEvents
tenant-lab-001-a000-0000-0000-000000000001,1,"{""SPF"":""Pass"",""DKIM"":""Pass"",""DMARC"":""Pass""}","{""UserReportedPhish"":false,""RootCause"":""Unrelated marketing""}",None,,AllowList,Delivered,Inbox,10001,Inbound,en,Delivered,,,Allow,Default,<nm-noise-1@mail.example>,nm-noise-1,jordan.velez@creditsafe.com,8f3a2b1c-4d5e-6a7b-8c9d-0e1f2a3b4c5d,rpt-email-e-1,Data Platform Team,news@newsletter1.example,newsletter1.example,,10.0.0.1,,news@newsletter1.example,newsletter1.example,Newsletter 1,,,2026-05-27T07:07:00Z,2026-05-27T07:07:00Z,2026-05-27T07:07:12Z,1,,,1,Inbox,Delivered,,,,Email,"[""jordan.velez@creditsafe.com""]",[],None,EmailEvents
tenant-lab-001-a000-0000-0000-000000000001,1,"{""SPF"":""Pass"",""DKIM"":""Pass"",""DMARC"":""Pass""}","{""UserReportedPhish"":false,""RootCause"":""Unrelated marketing""}",None,,AllowList,Delivered,Inbox,10001,Inbound,en,Delivered,,,Allow,Default,<nm-noise-2@mail.example>,nm-noise-2,jordan.velez@creditsafe.com,8f3a2b1c-4d5e-6a7b-8c9d-0e1f2a3b4c5d,rpt-email-e-2,Data Platform Team,news@newsletter2.example,newsletter2.example,,10.0.0.1,,news@newsletter2.example,newsletter2.example,Newsletter 2,,,2026-05-27T08:14:00Z,2026-05-27T08:14:00Z,2026-05-27T08:14:12Z,1,,,1,Inbox,Delivered,,,,Email,"[""jordan.velez@creditsafe.com""]",[],None,EmailEvents
tenant-lab-001-a000-0000-0000-000000000001,1,"{""SPF"":""Pass"",""DKIM"":""Pass"",""DMARC"":""Pass""}","{""UserReportedPhish"":false,""RootCause"":""Unrelated marketing""}",None,,AllowList,Delivered,Inbox,10001,Inbound,en,Delivered,,,Allow,Default,<nm-noise-3@mail.example>,nm-noise-3,jordan.velez@creditsafe.com,8f3a2b1c-4d5e-6a7b-8c9d-0e1f2a3b4c5d,rpt-email-e-3,Data Platform Team,news@newsletter3.example,newsletter3.example,,10.0.0.1,,news@newsletter3.example,newsletter3.example,Newsletter 3,,,2026-05-27T09:21:00Z,2026-05-27T09:21:00Z,2026-05-27T09:21:12Z,1,,,1,Inbox,Delivered,,,,Email,"[""jordan.velez@creditsafe.com""]",[],None,EmailEvents
tenant-lab-001-a000-0000-0000-000000000001,1,"{""SPF"":""Pass"",""DKIM"":""Pass"",""DMARC"":""Pass""}","{""UserReportedPhish"":false,""RootCause"":""Unrelated marketing""}",None,,AllowList,Delivered,Inbox,10001,Inbound,en,Delivered,,,Allow,Default,<nm-noise-4@mail.example>,nm-noise-4,jordan.velez@creditsafe.com,8f3a2b1c-4d5e-6a7b-8c9d-0e1f2a3b4c5d,rpt-email-e-4,Data Platform Team,news@newsletter4.example,newsletter4.example,,10.0.0.1,,news@newsletter4.example,newsletter4.example,Newsletter 4,,,2026-05-27T10:28:00Z,2026-05-27T10:28:00Z,2026-05-27T10:28:12Z,1,,,1,Inbox,Delivered,,,,Email,"[""jordan.velez@creditsafe.com""]",[],None,EmailEvents
tenant-lab-001-a000-0000-0000-000000000001,1,"{""SPF"":""Pass"",""DKIM"":""Pass"",""DMARC"":""Pass""}","{""UserReportedPhish"":false,""RootCause"":""Unrelated marketing""}",None,,AllowList,Delivered,Inbox,10001,Inbound,en,Delivered,,,Allow,Default,<nm-noise-5@mail.example>,nm-noise-5,jordan.velez@creditsafe.com,8f3a2b1c-4d5e-6a7b-8c9d-0e1f2a3b4c5d,rpt-email-e-5,Data Platform Team,news@newsletter5.example,newsletter5.example,,10.0.0.1,,news@newsletter5.example,newsletter5.example,Newsletter 5,,,2026-05-27T11:35:00Z,2026-05-27T11:35:00Z,2026-05-27T11:35:12Z,1,,,1,Inbox,Delivered,,,,Email,"[""jordan.velez@creditsafe.com""]",[],None,EmailEvents
tenant-lab-001-a000-0000-0000-000000000001,1,"{""SPF"":""Pass"",""DKIM"":""Pass"",""DMARC"":""Pass""}","{""UserReportedPhish"":false,""RootCause"":""Unrelated marketing""}",None,,AllowList,Delivered,Inbox,10001,Inbound,en,Delivered,,,Allow,Default,<nm-noise-6@mail.example>,nm-noise-6,jordan.velez@creditsafe.com,8f3a2b1c-4d5e-6a7b-8c9d-0e1f2a3b4c5d,rpt-email-e-6,Data Platform Team,news@newsletter6.example,newsletter6.example,,10.0.0.1,,news@newsletter6.example,newsletter6.example,Newsletter 6,,,2026-05-27T12:42:00Z,2026-05-27T12:42:00Z,2026-05-27T12:42:12Z,1,,,1,Inbox,Delivered,,,,Email,"[""jordan.velez@creditsafe.com""]",[],None,EmailEvents
tenant-lab-001-a000-0000-0000-000000000001,1,"{""SPF"":""Pass"",""DKIM"":""Pass"",""DMARC"":""Pass""}","{""UserReportedPhish"":false,""RootCause"":""Unrelated marketing""}",None,,AllowList,Delivered,Inbox,10001,Inbound,en,Delivered,,,Allow,Default,<nm-noise-7@mail.example>,nm-noise-7,jordan.velez@creditsafe.com,8f3a2b1c-4d5e-6a7b-8c9d-0e1f2a3b4c5d,rpt-email-e-7,Data Platform Team,news@newsletter7.example,newsletter7.example,,10.0.0.1,,news@newsletter7.example,newsletter7.example,Newsletter 7,,,2026-05-27T13:49:00Z,2026-05-27T13:49:00Z,2026-05-27T13:49:12Z,1,,,1,Inbox,Delivered,,,,Email,"[""jordan.velez@creditsafe.com""]",[],None,EmailEvents
