TenantId,SourceSystem,TimeGenerated,ResourceId,OperationName,OperationVersion,Category,ResultType,ResultSignature,ResultDescription,DurationMs,CorrelationId,Resource,ResourceGroup,ResourceProvider,Identity,Level,Location,AlternateSignInName,AppDisplayName,AppId,AuthenticationContextClassReferences,AuthenticationDetails,AppliedEventListeners,AuthenticationMethodsUsed,AuthenticationProcessingDetails,AuthenticationRequirement,AuthenticationRequirementPolicies,ClientAppUsed,ConditionalAccessPolicies,ConditionalAccessStatus,CreatedDateTime,DeviceDetail,IsInteractive,Id,IPAddress,IsRisky,LocationDetails,MfaDetail,NetworkLocationDetails,OriginalRequestId,ProcessingTimeInMilliseconds,RiskDetail,RiskEventTypes,RiskState,Status,UserPrincipalName,SessionId,RiskLevel,Type
tenant-lab-001-a000-0000-0000-000000000001,Azure AD,2026-05-27T07:12:00Z,,Sign-in activity,1.0,SignInLogs,0,SUCCESS,Success,80,corr-ap-2707,,,,alex.park@creditsafe.com,Informational,UK South,alex.park@creditsafe.com,Microsoft 365,00000003-0000-0ff1-ce00-000000000000,"[{""Id"":""urn:oasis:names:tc:SAML:2.0:ac:classes:PasswordProtectedTransport""}]","{""MfaRequired"":true,""Methods"":[""Password"",""PhoneAppNotification""]}",,"Password, PhoneAppNotification",,multiFactorAuthentication,,Browser,[],success,2026-05-27T07:12:00Z,"{""displayName"":""CS-LT-04421"",""operatingSystem"":""Windows 11""}",1,sig-0000,10.24.12.88,0,"{""City"":""Cardiff"",""CountryOrRegion"":""GB"",""State"":""""}","{""authMethod"":""PhoneAppNotification"",""result"":""success""}",,req-0000,120,,,none,"{""additionalDetails"":""""}",alex.park@creditsafe.com,sess-ap-2707,,
tenant-lab-001-a000-0000-0000-000000000001,Azure AD,2026-05-27T07:45:00Z,,Sign-in activity,1.0,SignInLogs,0,SUCCESS,Success,81,corr-pn-2745,,,,priya.nair@creditsafe.com,Informational,UK South,priya.nair@creditsafe.com,Microsoft Teams,48ad82fe-8d80-4c8c-8c3c-3c3c3c3c3c3c,"[{""Id"":""urn:oasis:names:tc:SAML:2.0:ac:classes:PasswordProtectedTransport""}]","{""MfaRequired"":true,""Methods"":[""Password"",""PhoneAppNotification""]}",,"Password, PhoneAppNotification",,multiFactorAuthentication,,Browser,[],success,2026-05-27T07:45:00Z,"{""displayName"":""CS-LT-05219"",""operatingSystem"":""Windows 11""}",1,sig-0001,10.24.14.22,0,"{""City"":""London"",""CountryOrRegion"":""GB"",""State"":""""}","{""authMethod"":""PhoneAppNotification"",""result"":""success""}",,req-0001,121,,,none,"{""additionalDetails"":""""}",priya.nair@creditsafe.com,sess-pn-2745,,
tenant-lab-001-a000-0000-0000-000000000001,Azure AD,2026-05-27T08:00:00Z,,Sign-in activity,1.0,SignInLogs,0,SUCCESS,Success,82,corr-svc-2800,,,,svc-pipeline@creditsafe.com,Informational,UK South,svc-pipeline@creditsafe.com,Azure DevOps,499b84ac-1321-427f-aa17-267ca0a5a001,"[{""Id"":""urn:oasis:names:tc:SAML:2.0:ac:classes:PasswordProtectedTransport""}]","{""MfaRequired"":false,""Methods"":[]}",,None,,singleFactorAuthentication,,Mobile Apps and Desktop clients,[],success,2026-05-27T08:00:00Z,"{""displayName"":"""",""operatingSystem"":""Windows 11""}",0,sig-0002,10.0.4.50,0,"{""City"":""Cardiff"",""CountryOrRegion"":""GB"",""State"":""""}","{""authMethod"":""none"",""result"":""success""}",,req-0002,122,,,none,"{""additionalDetails"":""{\""ServicePrincipal\"":true}""}",svc-pipeline@creditsafe.com,,,
tenant-lab-001-a000-0000-0000-000000000001,Azure AD,2026-05-27T08:30:00Z,,Sign-in activity,1.0,SignInLogs,0,SUCCESS,Success,83,corr-mk-2830,,,,morgan.kim@creditsafe.com,Informational,UK South,morgan.kim@creditsafe.com,Microsoft 365,00000003-0000-0ff1-ce00-000000000000,"[{""Id"":""urn:oasis:names:tc:SAML:2.0:ac:classes:PasswordProtectedTransport""}]","{""MfaRequired"":true,""Methods"":[""Password"",""PhoneAppNotification""]}",,"Password, PhoneAppNotification",,multiFactorAuthentication,,Browser,[],success,2026-05-27T08:30:00Z,"{""displayName"":""CS-LT-03811"",""operatingSystem"":""Windows 11""}",1,sig-0003,10.24.16.10,0,"{""City"":""Cardiff"",""CountryOrRegion"":""GB"",""State"":""""}","{""authMethod"":""PhoneAppNotification"",""result"":""success""}",,req-0003,123,,,none,"{""additionalDetails"":""""}",morgan.kim@creditsafe.com,sess-mk-2830,,
tenant-lab-001-a000-0000-0000-000000000001,Azure AD,2026-05-27T09:15:00Z,,Sign-in activity,1.0,SignInLogs,0,SUCCESS,Success,84,corr-lc-2915,,,,liam.chen@creditsafe.com,Informational,UK South,liam.chen@creditsafe.com,Azure Portal,00000003-0000-0000-c000-000000000000,"[{""Id"":""urn:oasis:names:tc:SAML:2.0:ac:classes:PasswordProtectedTransport""}]","{""MfaRequired"":true,""Methods"":[""Password"",""PhoneAppNotification""]}",,"Password, PhoneAppNotification",,multiFactorAuthentication,,Browser,[],success,2026-05-27T09:15:00Z,"{""displayName"":""CS-DEV-01407"",""operatingSystem"":""Windows 11""}",1,sig-0004,10.24.19.44,0,"{""City"":""Bristol"",""CountryOrRegion"":""GB"",""State"":""""}","{""authMethod"":""PhoneAppNotification"",""result"":""success""}",,req-0004,124,,,none,"{""additionalDetails"":""""}",liam.chen@creditsafe.com,sess-lc-2915,,
tenant-lab-001-a000-0000-0000-000000000001,Azure AD,2026-05-27T11:00:00Z,,Sign-in activity,1.0,SignInLogs,0,SUCCESS,Success,85,corr-nb-1100,,,,noah.banks@creditsafe.com,Informational,UK South,noah.banks@creditsafe.com,Microsoft Office,d3590ed6-52b3-4102-aeff-aad2292ab01c,"[{""Id"":""urn:oasis:names:tc:SAML:2.0:ac:classes:PasswordProtectedTransport""}]","{""MfaRequired"":true,""Methods"":[""Password"",""PhoneAppNotification""]}",,"Password, PhoneAppNotification",,multiFactorAuthentication,,Mobile Apps and Desktop clients,[],success,2026-05-27T11:00:00Z,"{""displayName"":""CS-LT-06102"",""operatingSystem"":""Windows 11""}",1,sig-0005,198.18.0.60,1,"{""City"":""Edinburgh"",""CountryOrRegion"":""GB"",""State"":""""}","{""authMethod"":""PhoneAppNotification"",""result"":""success""}",,req-0005,125,unfamiliarLocation,unfamiliarLocation,none,"{""additionalDetails"":""{\""TravelStatus\"":\""Pre-approved conference\""}""}",noah.banks@creditsafe.com,sess-nb-1100,,
tenant-lab-001-a000-0000-0000-000000000001,Azure AD,2026-05-27T14:22:00Z,,Sign-in activity,1.0,SignInLogs,0,SUCCESS,Success,86,corr-sh-1422,,,,samira.holt@creditsafe.com,Informational,UK South,samira.holt@creditsafe.com,Microsoft 365,00000003-0000-0ff1-ce00-000000000000,"[{""Id"":""urn:oasis:names:tc:SAML:2.0:ac:classes:PasswordProtectedTransport""}]","{""MfaRequired"":true,""Methods"":[""Password"",""PhoneAppNotification""]}",,"Password, PhoneAppNotification",,multiFactorAuthentication,,Browser,[],success,2026-05-27T14:22:00Z,"{""displayName"":""CS-LT-04773"",""operatingSystem"":""Windows 11""}",1,sig-0006,10.24.21.77,0,"{""City"":""Cardiff"",""CountryOrRegion"":""GB"",""State"":""""}","{""authMethod"":""PhoneAppNotification"",""result"":""success""}",,req-0006,126,,,none,"{""additionalDetails"":""""}",samira.holt@creditsafe.com,sess-sh-1422,,
tenant-lab-001-a000-0000-0000-000000000001,Azure AD,2026-05-27T16:40:00Z,,Sign-in activity,1.0,SignInLogs,0,SUCCESS,Success,87,corr-jv-2740,,,,jordan.velez@creditsafe.com,Informational,UK South,jordan.velez@creditsafe.com,Azure DevOps,499b84ac-1321-427f-aa17-267ca0a5a001,"[{""Id"":""urn:oasis:names:tc:SAML:2.0:ac:classes:PasswordProtectedTransport""}]","{""MfaRequired"":true,""Methods"":[""Password"",""PhoneAppNotification""]}",,"Password, PhoneAppNotification",,multiFactorAuthentication,,Browser,[],success,2026-05-27T16:40:00Z,"{""displayName"":""CS-DEV-01982"",""operatingSystem"":""Windows 11""}",1,sig-0007,10.24.18.55,0,"{""City"":""Cardiff"",""CountryOrRegion"":""GB"",""State"":""""}","{""authMethod"":""PhoneAppNotification"",""result"":""success""}",,req-0007,127,,,none,"{""additionalDetails"":""""}",jordan.velez@creditsafe.com,sess-jv-2740,,
tenant-lab-001-a000-0000-0000-000000000001,Azure AD,2026-05-27T17:05:00Z,,Sign-in activity,1.0,SignInLogs,0,SUCCESS,Success,88,corr-jv-2705,,,,jordan.velez@creditsafe.com,Informational,UK South,jordan.velez@creditsafe.com,Microsoft Teams,48ad82fe-8d80-4c8c-8c3c-3c3c3c3c3c3c,"[{""Id"":""urn:oasis:names:tc:SAML:2.0:ac:classes:PasswordProtectedTransport""}]","{""MfaRequired"":true,""Methods"":[""Password"",""PhoneAppNotification""]}",,"Password, PhoneAppNotification",,multiFactorAuthentication,,Browser,[],success,2026-05-27T17:05:00Z,"{""displayName"":""CS-DEV-01982"",""operatingSystem"":""Windows 11""}",1,sig-0008,10.24.18.55,0,"{""City"":""Cardiff"",""CountryOrRegion"":""GB"",""State"":""""}","{""authMethod"":""PhoneAppNotification"",""result"":""success""}",,req-0008,128,,,none,"{""additionalDetails"":""""}",jordan.velez@creditsafe.com,sess-jv-2705,,
tenant-lab-001-a000-0000-0000-000000000001,Azure AD,2026-05-27T18:30:00Z,,Sign-in activity,1.0,SignInLogs,0,SUCCESS,Success,89,corr-gv-1830,,,,guest.vendor@partner-lab.example,Informational,UK South,guest.vendor@partner-lab.example,Microsoft Teams,48ad82fe-8d80-4c8c-8c3c-3c3c3c3c3c3c,"[{""Id"":""urn:oasis:names:tc:SAML:2.0:ac:classes:PasswordProtectedTransport""}]","{""MfaRequired"":true,""Methods"":[""OneTimePasscode""]}",,OneTimePasscode,,multiFactorAuthentication,,Browser,[],success,2026-05-27T18:30:00Z,"{""displayName"":""Unknown"",""operatingSystem"":""Unknown""}",1,sig-0009,198.18.0.90,0,"{""City"":""London"",""CountryOrRegion"":""GB"",""State"":""""}","{""authMethod"":""OneTimePasscode"",""result"":""success""}",,req-0009,129,,,none,"{""additionalDetails"":""{\""B2BGuest\"":true}""}",guest.vendor@partner-lab.example,sess-gv-1830,,
tenant-lab-001-a000-0000-0000-000000000001,Azure AD,2026-05-27T22:10:00Z,,Sign-in activity,1.0,SignInLogs,0,SUCCESS,Success,90,corr-scan-2210,,,,svc-scanner@creditsafe.com,Informational,UK South,svc-scanner@creditsafe.com,Microsoft Graph,00000003-0000-0000-c000-000000000000,"[{""Id"":""urn:oasis:names:tc:SAML:2.0:ac:classes:PasswordProtectedTransport""}]","{""MfaRequired"":false,""Methods"":[]}",,None,,singleFactorAuthentication,,Mobile Apps and Desktop clients,[],success,2026-05-27T22:10:00Z,"{""displayName"":"""",""operatingSystem"":""Windows 11""}",0,sig-0010,10.0.8.12,0,"{""City"":""Cardiff"",""CountryOrRegion"":""GB"",""State"":""""}","{""authMethod"":""none"",""result"":""success""}",,req-0010,130,,,none,"{""additionalDetails"":""{\""NonInteractive\"":true}""}",svc-scanner@creditsafe.com,,,
